001	F	B01	Digitale Lösung ausdrücklich angestrebt.
002	F	B02	Individuelles direktes Übersetzungssystem ausdrücklich ausgeschlossen.
003	F	B05	Richtung und Vorrang der Verstehensunterstützung ausdrücklich erhalten.
004	F	B06	App als Lösungsrichtung ausdrücklich enthalten.
005	F	B06	Individuelles Kommunikationswissen in der App enthalten.
006	P	B06,B22	Nachschlagen und Suchfunktion vorhanden; jederzeitiger und schneller Wissenszugriff nicht ausdrücklich erhalten.
007	F	B01,B06	Kommunikationsziel und App-Lösungsrichtung im Verbund erhalten.
008	P	B06	Nachschlagehilfe bei Verständigungsproblemen; schnelleres Verständnis neuer Mitarbeiter nicht ausdrücklich erhalten.
009	N	B10,B06	Begleitete Einarbeitung als Ist-Zustand und App-Hilfe genannt; deren Aufwandssenkung fehlt.
010	N	B03,B09	Bestehende Akten und Einsicht geklärt; offene vollständige Übernahme in die App fehlt.
011	N	B21	Persönliche About-Me-Daten sind vorhanden; der eigenständige Zweck erster Eindruck fehlt wie im ursprünglichen Lauf.
012	N	B06	Kommunikationszweck enthalten; Begrenzung des Funktionsumfangs zum Schutz dieses Zwecks fehlt.
013	F	B24	Medikamentengaben ausdrücklich im Kalender abbildbar.
014	P	B22	Neue Kommunikationsweisen mit Text/Bild ergänzbar; Plus-Button unten und Eingabedialog fehlen.
015	N	B22	Bloße Bereichstrennung deckt G-033, nicht die eigenständige Navigationsfunktion mit zwei Buttons in G-015.
016	F	B14	Angehörigenzugriff ausdrücklich enthalten.
017	P	B14	Angehörige tragen Daten bei; Vorab-Befüllung bei neuen Bewohnern fehlt.
018	F	B15	Bewohnerbezogene No-Go-Seite und kritische zu vermeidende Dinge enthalten.
019	F	B16,B17,B29	Administrative Account-Anlage ausdrücklich enthalten.
020	P	B14,B17	Angehörigenzugriff und User-Rolle enthalten; Zuordnung Mitarbeiter/Angehörige zu User-Accounts fehlt.
021	F	B17	User dürfen Inhalte hinzufügen.
022	F	B29	Admins passen Rechte an.
023	F	B17	Löschverbot für User ausdrücklich enthalten.
024	F	B16	Loginpflicht, keine Selbstregistrierung und ausschließlich administrative Anlage enthalten.
025	F	B16,B17	User dürfen ausdrücklich keine Accounts erstellen.
026	F	B19	Profilübersicht ausdrücklich enthalten.
027	F	B19	Profilübersicht nach Login ausdrücklich enthalten.
028	P	B19	Profile anklickbar; Navigation zu einer Detailansicht fehlt.
029	F	B21	Bildliste mit Beschreibungen enthalten.
030	P	B21	Persönliche Informationen vorhanden; obere Infobox und ausdrücklich Name/Alter/Hobbys fehlen.
031	P	B21	Foto-Timeline mit neuesten Bildern oben; ältere Bilder scrollbar und Feed-Anordnung nicht vollständig erhalten.
032	P	B21	Plus-Button zum Erweitern der Bildliste vorhanden; unterer Rand und Eingabedialog fehlen.
033	F	B22	Verbale/nonverbale Unterteilung ausdrücklich enthalten.
034	F	B22	Kommunikationsweisen mit Texten und Bildern ausdrücklich enthalten.
035	P	B24	Übersichtlicher Kalender vorhanden; Monatsansicht fehlt.
036	F	B24	Kalender für Termine ausdrücklich enthalten.
037	N	B24	Kalender/Termine enthalten, aber keinerlei Hinzufügen von Einträgen. Gleiche Auslegung wie ursprünglicher Lauf.
038	N	B24	Medikamentengaben im Kalender enthalten; separate Liste unter Monatsansicht fehlt.
039	F	B25	Appbar auf jeder Seite nach Login mit gleichen Funktionen enthalten.
040	F	B25	Logout in der nach Login auf jeder Seite vorhandenen Appbar ermöglicht den geforderten schnellen Zugang.
041	F	B15	Dynamisches Erweitern der No-Go-Liste per Plus-Button ausdrücklich enthalten.
042	N	B13,B16	Datenschutzprüfung/Zugangsbeschränkung enthalten; vertiefte Konzeption als Folgeprojekt fehlt.
043	N	B17	Administrative Account-Verwaltung und User-Löschverbot ersetzen kein positives Admin-Löschrecht.
044	F	B16	Ausschließlich interner Gebrauch ohne Selbstregistrierung ausdrücklich enthalten.
045	F	B18	Einrichtungsübergreifender Profilzugriff ausdrücklich ausgeschlossen.
046	F	B34	iOS- und Android-Smartphones ausdrücklich enthalten.
047	F	B33	Tablet-Unterstützung ausdrücklich noch zu evaluieren.
048	P	B19	Gezielte Profilsuche vorhanden; Name oder andere Daten als Suchkriterien nicht genannt.
049	P	B22	Suchfunktion auf Kommunikationsseiten vorhanden; Suchleiste oben und konkrete Merkmals-/Signalfilterung fehlen.
050	F	B23	Einheitliches Eingabemuster verbessert Suche und Filter.
051	F	B23	Genaue Formulierung ausdrücklich noch festzulegen.
052	N	B22	Videos in Kommunikationsbereiche integriert; ausdrückliche Aufgabe der separaten Videoseite fehlt.
053	P	B22	Videos in Kommunikation integriert; Hinzufügen von Videos mit Beschreibungen nicht ausdrücklich genannt.
054	P	B11	Neue Erfahrungen hinzugefügt; unmittelbares Teilen mit anderen Berechtigten fehlt.
