gold_id	statement	R	A	B	reason_R	reason_A	reason_B
G-IE-001	Die bevorzugte Lösung soll digital umgesetzt werden.	full	full	full	CAN-002: digitale Lösung bevorzugt	Digitale Softwarelösung ausdrücklich bevorzugt.	Digitale Lösung ausdrücklich angestrebt.
G-IE-002	Ein direktes Übersetzungssystem zwischen Standardsprache und der individuellen Kommunikationsweise einzelner Bewohner wird als Lösungsansatz ausgeschlossen.	full	full	full	CAN-003: must_not direktes Übersetzungssystem	Bidirektionales individuelles Übersetzungssystem ausdrücklich ausgeschlossen.	Individuelles direktes Übersetzungssystem ausdrücklich ausgeschlossen.
G-IE-003	Die Unterstützung soll primär anderen Personen helfen, Bewohner besser zu verstehen, statt Bewohner beim Verstehen der Betreuer zu unterstützen.	full	full	full	CAN-006: primär Bewohner-Verstehen priorisiert	Richtung der Unterstützung und Vorrang ausdrücklich erhalten.	Richtung und Vorrang der Verstehensunterstützung ausdrücklich erhalten.
G-IE-004	Als Lösungsform wird eine digitale App verfolgt.	full	full	full	CAN-007: 'Lösung soll als App…'	App als Lösungsform ausdrücklich verfolgt.	App als Lösungsrichtung ausdrücklich enthalten.
G-IE-005	Die App soll Wissen über die individuelle Kommunikationsweise eines Bewohners speichern.	full	full	full	CAN-007: Wissen über individuelle Kommunikationsweise festhalten	Speicherung individuellen Kommunikationswissens erhalten.	Individuelles Kommunikationswissen in der App enthalten.
G-IE-006	Gespeichertes Kommunikationswissen soll für Nutzer jederzeit und schnell nachschlagbar sein.	partial	partial	partial	CAN-007: Nachschlagen ✓, aber 'jederzeit und schnell' fehlt (Qualitäts-Qualifikation)	Nachschlagen und schnelle Suche enthalten; jederzeitige Verfügbarkeit fehlt.	Nachschlagen und Suchfunktion vorhanden; jederzeitiger und schneller Wissenszugriff nicht ausdrücklich erhalten.
G-IE-007	Die App soll die Kommunikation zwischen einer beeinträchtigten Person und anderen Personen unterstützen, ermöglichen oder verbessern.	full	full	full	CAN-001	Kommunikationsförderung und ihre Realisierung durch die App im Verbund erhalten.	Kommunikationsziel und App-Lösungsrichtung im Verbund erhalten.
G-IE-008	Die App soll neuen Mitarbeitenden und anderen bislang unvertrauten Personen ermöglichen, Bewohner schneller zu verstehen.	partial	partial	partial	CAN-007 'damit andere bei Verständigungsproblemen nachschauen können' deckt den Kern (andere verstehen Bewohner); Zielgruppe 'neue Mitarbeitende' + 'schneller' fehlen	Hilfe für unvertraute Personen allgemein enthalten; neue Mitarbeitende und schnelleres Verstehen nicht ausdrücklich erhalten.	Nachschlagehilfe bei Verständigungsproblemen; schnelleres Verständnis neuer Mitarbeiter nicht ausdrücklich erhalten.
G-IE-009	Die App soll den Einarbeitungsaufwand für neue Mitarbeitende verringern.	none	none	none	KEIN Claim zur Verringerung des Einarbeitungsaufwands	Bestehende Einarbeitung und Nachschlagehilfe genannt, Verringerung des Einarbeitungsaufwands nicht.	Begleitete Einarbeitung als Ist-Zustand und App-Hilfe genannt; deren Aufwandssenkung fehlt.
G-IE-010	Ob die App die vollständige bestehende Bewohnerdokumentation übernehmen soll, ist noch mit der Einrichtungsleitung zu klären.	full	full	none	CAN-012: Klärung mit Leitung + Umfangsbegrenzung — DECKT die F-Lücke	Vollständige Digitalisierung als möglicher Umfang und Abstimmung mit Leitung erhalten.	Bestehende Akten und Einsicht geklärt; offene vollständige Übernahme in die App fehlt.
