A01	N	D	AU-0001 nennt Kommunikationsverbesserung ausdrücklich.
A02	N	D	AU-0001 bevorzugt digitale Lösung/Computerprogramm ausdrücklich.
A03	N	D	AU-0011/12 bestimmen die unterstützte Kommunikationsrichtung.
A04	N	D	AU-0004 schließt individuelles Übersetzungssystem aus; AU-0005 stimmt zu.
A05	N	D	AU-0007/18 nennen klassische Akten, Plan und fortlaufendes Erfahrungswissen.
A06	N	D	AU-0018 berichtet Umfang und Schwierigkeiten beim Finden; keine Aussage über alle Mitarbeiter hinzugefügt.
A07	N	D	AU-0022 nennt Dokumentation und begleitete Einarbeitung.
A08	N	D	AU-0008/9 schlagen Beobachtungstermine vor und vereinbaren sie.
A09	N	D	AU-0015 kündigt die Teilnahme eines Heilerziehungspflegers an.
A10	N	D	AU-0012/14 formulieren App, individuelles Wissen, Nachschlagen und noch offene Ausgestaltung.
A11	N	P	AU-0020 trägt die offene Akteneinsicht wegen Datenschutz; der zusätzliche Zweck Befüllung steht dort nicht.
A12	N	D	AU-0024/25 enthalten vollständige Digitalisierung als mögliche, mit Leitung zu klärende Erweiterung.
A13	N	D	AU-0012/25 und AU-0125 tragen Infobox, Basisdaten, Fotos, Beschreibungen, Timeline, Plus und neueste Bilder oben.
A14	N	D	AU-0025/26 sowie AU-0126 tragen getrennte verbale/nonverbale Bereiche und Buttons.
A15	N	D	AU-0026/27 verlangen dynamisches Hinzufügen neuer Erfahrungen.
A16	N	D	AU-0027/28 nennen Bild- und Textdarstellungen.
A17	N	D	AU-0029 bittet um Datenschutz-/Angehörigenklärung vor Fotoverwendung; AU-0030 stimmt zu.
A18	N	D	AU-0031/32 tragen Videos mit Beschreibung; AU-0074/75/76 verlagern sie ausdrücklich in die Kommunikationsseiten.
A19	N	D	AU-0036/37 tragen Angehörigenzugriff und Datenbeiträge.
A20	N	D	AU-0039/40 tragen No-Go-Seite und unbedingt zu vermeidende Dinge.
A21	N	D	AU-0044/60 tragen Loginpflicht, Ausschluss Selbstregistrierung, Admin-Anlage und internen Gebrauch.
A22	N	D	AU-0043/60/79/80 tragen drei Rollen, Rechteverbote und Beschränkung auf eigenes Bewohnerprofil.
A23	X	P	AU-0082/83 sehen About-Me-Zugriff und eigene Bilder bereits vor; der Claim macht daraus erneut eine offene Prüffrage. Fehlbedienungsgrenze ist gestützt.
A24	N	D	AU-0063/64 begrenzen Einrichtungssicht und lassen technische Umsetzung offen.
A25	N	D	AU-0066/67 bestätigen iOS-/Android-Unterstützung.
A26	N	D	AU-0067/68 belassen Tablet-Unterstützung in der Evaluation.
A27	N	D	AU-0118/19 nennen alle Login-Bestandteile und keine Registrierung.
A28	N	D	AU-0045 und AU-0121/22/23 tragen Profilübersicht, Auswahl, Suchleiste, alternative Darstellung und Anlageweg.
A29	N	D	AU-0069/70 verlangen Namenssuche statt langem Scrollen.
A30	N	D	AU-0120 trägt konsistente Appbar mit Navigation, Titel und Einstellungszugang.
A31	N	D	AU-0124 trägt vergrößertes Bild und interaktive Bereichsbuttons.
A32	N	D	AU-0070/71/72/73 tragen Suche/Filter, Beschreibungsmuster und dessen noch zu definierende Form.
A33	N	D	AU-0078 nennt Popup für neue About-Me-Inhalte an verbundene Nutzer derselben Einrichtung.
A34	N	D	AU-0129 trägt Monatsansicht, Tagesbezug und Details beim Antippen.
A35	N	D	AU-0130 trägt rollenspezifische Settings, Admin-Anlage/Rechte und eigene Nutzereinstellungen.
A36	N	D	AU-0132 trägt Erstlogin-Tour und Hilfebereich.
A37	N	D	AU-0133 trägt Schriftgröße, Kontrast und Farbbegrenzung.
A38	N	D	AU-0134 nennt mögliche Sprachbefehle/alternative Eingaben.
A39	N	P	AU-0135 nennt nur das anaphorische sie; ohne AU-0134 fehlt der referenzierte Gegenstand Animationen. Gesamte Quelle trägt die Ablenkungsgrenze.
A40	N	D	AU-0093/95 wählen Flutter/Dart.
A41	N	I	AU-0098/100/101 tragen die angestrebte gemeinsame IDE und Einigung auf Android Studio; möglichst bewahrt den freiwilligen Charakter.
A42	N	D	AU-0102 fordert gleiche Werkzeugversionen; Weglassen der Nummern ist keine Quellenverfälschung des verbleibenden Inhalts.
A43	N	D	AU-0104/107 empfehlen Firestore und bleiben zunächst dabei.
A44	N	D	AU-0105/106 erläutern offene lokale Speicherung und Abruf aus der Cloud.
A45	N	D	AU-0111/112 legen zunächst Android 11 zum Entwickeln/Testen fest.
A46	N	D	AU-0113 kündigt Programmierregeln im nächsten Teamtreffen an.
A47	N	D	AU-0114/115 nehmen JetX zum Erproben in Rahmenbedingungen auf.
