run_id	review_id	claim_id	statement	sourceUnitIds	correctness	support	reason
20260905_164650_8189ea	R01	CAN-001	Die Lösung soll die Kommunikation zwischen betreuten Menschen mit Beeinträchtigungen und anderen Personen verbessern und fördern.	AU-0001	no_distortion_found	directly_supported	AU-0001 trägt das Kommunikationsziel.
20260905_164650_8189ea	R02	CAN-002	Eine digitale Lösung, etwa als Computerprogramm oder ähnliche Software, wird bevorzugt.	AU-0001	no_distortion_found	directly_supported	AU-0001 trägt die bevorzugte digitale Lösung.
20260905_164650_8189ea	R03	CAN-003	Die Lösung darf kein System sein, das individuelle Sprache direkt zwischen Bewohnern und anderen Personen automatisch übersetzt.	AU-0004,AU-0005	no_distortion_found	directly_supported	AU-0004/5 schließen individuelles direktes Übersetzen aus.
20260905_164650_8189ea	R04	CAN-004	Es soll eine Anforderungsanalyse mit beteiligten Personen und künftigen Nutzern durchgeführt werden, um Bedürfnisse und Funktionen des Systems genauer zu erarbeiten.	AU-0004,AU-0014	no_distortion_found	directly_supported	AU-0004/14 verlangen Anforderungsanalyse mit Beteiligten und späteren Nutzern.
20260905_164650_8189ea	R05	CAN-005	Das Team soll Kennenlern- und Beobachtungstermine in einer oder mehreren Einrichtungen durchführen können, um die aktuelle Kommunikationssituation besser zu verstehen.	AU-0009	no_distortion_found	partially_supported	AU-0009 trägt Kennenlerntermine und mehrere Einrichtungen; der spezielle Zweck aktuelle Kommunikationssituation steht in der nicht referenzierten AU-0008.
20260905_164650_8189ea	R06	CAN-006	Wenn priorisiert werden muss, soll die App primär dabei helfen, Bewohner besser zu verstehen, statt primär Bewohner beim Verstehen anderer zu unterstützen.	AU-0011,AU-0012	no_distortion_found	directly_supported	AU-0011/12 tragen Priorität und beide Kommunikationsrichtungen.
20260905_164650_8189ea	R07	CAN-007	Die Lösung soll als App Wissen über die individuelle Kommunikationsweise einer Person festhalten, damit andere bei Verständigungsproblemen nachschauen können, was gemeint sein könnte.	AU-0012,AU-0014,AU-0015	no_distortion_found	directly_supported	AU-0012/14/15 tragen App, individuelles Wissen und Nachschlagen.
20260905_164650_8189ea	R08	CAN-008	Es existieren klassische Akten, in denen Informationen über Bewohner dokumentiert sind.	AU-0007	no_distortion_found	directly_supported	AU-0007 nennt klassische Bewohnerakten.
20260905_164650_8189ea	R09	CAN-009	Bestehende Dokumentationen können für Mitarbeitende schwer nutzbar sein, weil sie umfangreich sind und gesuchte Informationen oft nicht schnell gefunden werden.	AU-0018,AU-0020	no_distortion_found	directly_supported	AU-0018/20 tragen begrenzte Beobachtung erschwerter Dokumentationsnutzung; können wahrt diesen Umfang.
20260905_164650_8189ea	R10	CAN-010	Es muss geklärt werden, ob und unter welchen Datenschutzbedingungen Einsicht in Bewohnerakten möglich ist.	AU-0020	no_distortion_found	directly_supported	AU-0020 trägt offene Einsicht und Datenschutzbedingungen.
