001	F	A02	Digitale Softwarelösung ausdrücklich bevorzugt.
002	F	A04	Bidirektionales individuelles Übersetzungssystem ausdrücklich ausgeschlossen.
003	F	A03	Richtung der Unterstützung und Vorrang ausdrücklich erhalten.
004	F	A10	App als Lösungsform ausdrücklich verfolgt.
005	F	A10	Speicherung individuellen Kommunikationswissens erhalten.
006	P	A10,A32	Nachschlagen und schnelle Suche enthalten; jederzeitige Verfügbarkeit fehlt.
007	F	A01,A10	Kommunikationsförderung und ihre Realisierung durch die App im Verbund erhalten.
008	P	A10	Hilfe für unvertraute Personen allgemein enthalten; neue Mitarbeitende und schnelleres Verstehen nicht ausdrücklich erhalten.
009	N	A07,A10	Bestehende Einarbeitung und Nachschlagehilfe genannt, Verringerung des Einarbeitungsaufwands nicht.
010	F	A12	Vollständige Digitalisierung als möglicher Umfang und Abstimmung mit Leitung erhalten.
011	F	A13	About-Me vermittelt ausdrücklich einen ersten Eindruck.
012	N	A10,A12	Kommunikationszweck genannt, Begrenzung des Funktionsumfangs zu seinem Schutz fehlt.
013	F	A34	Kalendereinträge zu Medikamenten und Terminen ausdrücklich enthalten.
014	P	A14,A15,A16	Dynamisch ergänzbare Kommunikation mit Bildern/Text; Plus-Button unten und Eingabedialog fehlen für diesen Bereich.
015	F	A14	Verbaler und nonverbaler Bereich jeweils über klare Buttons erreichbar.
016	F	A19	Zugriff für Angehörige ausdrücklich enthalten.
017	P	A19	Angehörige können Daten hinzufügen; Vorab-Befüllung bei neuen Bewohnern fehlt.
018	F	A20	Bewohnerbezogene No-Go-Seite und unbedingt zu vermeidende Dinge enthalten.
019	F	A21,A22,A35	Admin-Anlage von Accounts ausdrücklich enthalten.
020	P	A19,A22	Angehörigenzugriff und User-Rolle vorhanden; Zuordnung von Mitarbeitern/Angehörigen zu normalen User-Accounts fehlt.
021	F	A22	User dürfen ausdrücklich Inhalte hinzufügen.
022	F	A35	Admin kann Rechte anpassen.
023	F	A22	Löschverbot für User ausdrücklich erhalten.
024	F	A21,A27	Nur Login, keine Selbstregistrierung und ausschließlich administrative Account-Anlage erhalten.
025	F	A21,A22	A22 enthält ausdrücklich das Verbot der Account-Erstellung durch User.
026	F	A28	Übersicht der Bewohnerprofile enthalten.
027	F	A28	Weiterleitung nach dem Login zur Profilübersicht enthalten.
028	P	A28,A31	Profile sind anklickbar und Detailansicht existiert; Navigation vom ausgewählten Profil zu dieser Ansicht nicht ausdrücklich verknüpft.
029	F	A13	Bilder mit Beschreibungen enthalten.
030	F	A13	Obere Infobox mit Name, Alter und Hobbys enthalten.
031	P	A13	Timeline mit neuesten Fotos oben enthalten; ältere Fotos darunter scrollbar fehlt.
032	P	A13	Neue Einträge per Plus-Button; Position am unteren Rand und Eingabedialog fehlen.
033	F	A14	Verbale und nonverbale Kommunikation getrennt enthalten.
034	F	A14,A16	Kommunikationsinformationen mit textlichen und bildlichen Darstellungen im Verbund erhalten.
035	F	A34	Klare Monatsansicht ausdrücklich enthalten.
036	F	A34	Kalender für Termine ausdrücklich enthalten.
037	N	A34	Tageseinträge sind sichtbar, aber das Hinzufügen ist nicht ausgedrückt. Eigenständige Funktion wie im historischen G-037 getrennt beurteilt.
038	N	A34	Medikamente im Kalender, aber keine Medikamentenliste unter der Monatsansicht.
039	F	A30	Konsistente Appbar auf jeder Seite nach Login ausdrücklich enthalten.
040	N	A21,A30,A35	Keine Ausloggen-Funktion und keine schnelle Erreichbarkeit beschrieben.
041	N	A20	No-Go-Seite genannt, kein Hinzufügen per Plus-Button.
042	N	A17,A21	Datenschutzklärung/Zugangskontrolle genannt; Vertagung vertiefter Datenschutzkonzeption als Folgeprojekt fehlt.
043	N	A22	User-Löschverbot und Admin-Verwaltung enthalten kein positives Admin-Löschrecht. Entspricht der früheren Trennung von Rollenverwaltung und Datenlöschung.
044	F	A21	Interner Gebrauch ohne beliebigen externen Zugang ausdrücklich enthalten.
045	F	A24	Zugriff nur auf Bewohnerprofile der eigenen Einrichtung ausdrücklich enthalten.
046	F	A25	iOS und Android ausdrücklich enthalten.
047	F	A26	Tablet-Nutzung ausdrücklich noch zu prüfen.
048	P	A29	Namenssuche ausdrücklich enthalten; Suche nach weiteren relevanten Profildaten fehlt.
049	P	A32	Signalsuche/-filterung enthalten; Suchleiste oben im Bildschirm fehlt.
050	F	A32	Standardisiertes Beschreibungsmuster zum besseren Suchen und Filtern ausdrücklich enthalten.
051	F	A32	Das Muster soll erst definiert werden; konkrete Formulierung ist nicht festgelegt.
052	F	A18	Separater Videoscreen verworfen und Integration in beide Kommunikationsseiten enthalten.
053	F	A18	Videos mit Beschreibungen konkreter Kommunikationssituationen enthalten.
054	P	A15	Neue Erfahrungen können hinzugefügt werden; unmittelbares Teilen mit anderen berechtigten Nutzern fehlt.
055	F	A33	Neue About-Me-Inhalte lösen Popup für verbundene Nutzer derselben Einrichtung aus.
056	F	A22	Eigene Bewohnerrolle ausdrücklich vorgesehen.
057	F	A22	Bewohner sehen ausdrücklich nur eigenes Profil.
058	P	A22,A23	Eigener Profilzugriff und Fehlbedienungsgrenze enthalten; About-Me-Zugriff bleibt Prüffrage, ausschließlicher Funktionsumfang unvollständig.
059	P	A23	Eigener About-Me-Zugriff nur als zu prüfende Möglichkeit statt vorgesehener Funktion.
060	P	A23	Eigene Bilder nur als zu prüfende Möglichkeit statt vorgesehener Funktion.
061	P	A36	Allgemeine Hilfefunktion als Kern vorhanden; die offene Teilfrage Eingabe-/Suchanleitung fehlt. Bestehende Auslegung G-061 auf gleichen Inhalt übertragen.
062	P	A35	Rollenabhängige Funktionen vorhanden; ausschließliche Sichtbarkeit des Admin-Bereichs fehlt.
063	P	A22,A35	Rechteverwaltung als Kern vorhanden; offene Detailklärung fehlt. Bestehende Auslegung G-063 auf gleichen Inhalt übertragen.
064	F	A22,A35	Drei Rollen zusammen mit administrativer Account-Anlage/Rechteverwaltung im Verbund. Entspricht der dokumentierten Bündellesart des Hauptlaufs; striktere explizite Zuordnung bei Anlage als Sensitivität festgehalten.
065	F	A40	Flutter und Dart ausdrücklich gewählt.
066	P	A42	Gleiche Werkzeugversionen gefordert; beide genannten Versionsnummern fehlen.
067	F	A43	Firebase Firestore zunächst als Datenhaltung gewählt.
068	F	A44	Lokale Speicherung und Laden von Cloud-Daten ausdrücklich ungeklärt.
069	P	A44	Offene lokale Cloud-Datenhaltung als Kern vorhanden; konkrete NoSQLite-Option fehlt. Entspricht der historischen Auslegung G-069.
070	F	A45	Android 11 für erste Entwicklung und Tests enthalten.
071	F	A47	JetX als Rahmenbedingung berücksichtigen und erproben enthalten.
072	P	A27	Logo vorhanden; deutlich sichtbare Gestaltung fehlt.
073	N	A27	Logo vorhanden, weder Zentrierung noch oberes Drittel genannt.
074	N	A27	Inhaltlicher Kommunikationsbezug des Logos fehlt.
075	N	A27	Runde Logogestaltung fehlt.
076	N	A27	Offene Schattenwurf-Option fehlt.
077	P	A27	E-Mail- und Passwortfelder vorhanden; Anordnung unter Logo fehlt.
078	N	A37	Barrierearme Gestaltung vorhanden; Intuitivität und Benutzerfreundlichkeit nicht ausdrücklich beschrieben.
079	P	A27	Login-Button vorhanden; Position unter Eingabefeldern fehlt.
080	N	A27	Optisches Hervorheben des Login-Buttons fehlt.
081	P	A30	Seitentitel in Appbar vorhanden; mittige Platzierung fehlt.
082	P	A30	Zurück-Navigation vorhanden; linke Platzierung und Pfeilsymbol fehlen.
083	P	A30	Einstellungszugang vorhanden; rechtes Einstellungssymbol fehlt.
084	F	A28	Gut sichtbare Suchleiste unter Appbar ausdrücklich enthalten.
085	F	A28	Vorschaubild, Name, Kurzbeschreibung und Platzierung unter Suchleiste enthalten.
086	F	A28	Alternative Liste oder Kacheln ausdrücklich offen gehalten.
087	P	A28	Profilanlage per Plus und Dialog enthalten; Position unten und drei Dialogfelder fehlen.
088	F	A31	Größeres Profilbild in Detailansicht ausdrücklich enthalten.
089	P	A31	Interaktive Buttons zu Hauptbereichen enthalten; eindeutige Anzahl vier fehlt.
090	P	A14	Visuelle Trennung enthalten; Symbole als Mittel fehlen.
091	N	A20	No-Go-Seite vorhanden; visuelles Warnsymbol fehlt.
092	N	A20	No-Go-Inhalt vorhanden; einfaches Überblicken/Durchforsten nicht genannt.
093	N	A20	Beschränkung auf wichtigste No-Go-Informationen fehlt.
094	F	A34	Antippen eines Datums öffnet Termin-/Medikamentendetails.
095	P	A34	Tagbezogene Medikamenteneinträge sichtbar; Markierung von Medikamentenerinnerungen fehlt.
096	F	A35	Rollenspezifische Settings und beide Admin-Funktionen enthalten.
097	F	A35	Jeder Nutzer kann eigenes Profil ändern.
098	F	A35	Jeder Nutzer kann allgemeine Einstellungen wie Sprache ändern.
099	N	A35	Einstellungen allgemein vorhanden; leicht zugängliche Datenschutzeinstellungen fehlen.
100	F	A36	Kurze Einführung beim ersten Login ausdrücklich enthalten.
101	P	A36	Hilfefunktion vorhanden; jederzeitige Wiederaufrufbarkeit fehlt.
102	F	A37	Große Schrift ausdrücklich enthalten.
103	F	A37	Ausreichender Kontrast ausdrücklich enthalten.
104	F	A37	Zurückhaltende Farbvielfalt sinngleich enthalten.
105	N	A39	Vermeidung ablenkender Animationen ersetzt keine Entscheidung gegen Animationen/Feedback insgesamt.
106	F	A38	Alternative Eingabemethoden einschließlich Sprachbefehlen ausdrücklich zu prüfen.
107	P	A39	Ablenkungsgrenze für Animationen enthalten; zusätzlicher Feedback-Gegenstand fehlt.
108	N	A37	Klares Branding fehlt.
109	P	A44	Offene lokale Speicherung/Laden als Teilkern vorhanden; konkrete Sequenz bei Seitenaufruf und Wiederverwendungszweck fehlen. Gemäß bestehender G-109-Lesart teilweise statt keine Abdeckung.
